file_name,caption
train/Assassin_s Creed II/frame_0029.png,"a screenshot from a video game shows a woman with blond hair wearing a white shirt and earring, looking at her cell phone while her hand rests on her ear in the background, a"
train/Assassin_s Creed II/frame_0030.png,a screenshot from a video game shows a woman with black hair and a tan and brown hat standing in front of a large arched window she holds a black phone in her hand and has a
train/Assassin_s Creed II/frame_0031.png,"a screenshot from a video game shows a woman with blond hair standing in front of a brick wall, wearing a brown shirt and black belt she is holding a brown book in her hand and"
train/Assassin_s Creed II/frame_0032.png,"a screenshot from a video game shows a woman with blond hair standing in front of a brick wall she wears a brown shirt, black belt, and black pants, and has a long arm"
train/Assassin_s Creed II/frame_0034.png,"a screenshot from a video game shows a man standing in front of a large arched window, wearing a tan jacket and gray pants, with a red chair in the background"
train/Assassin_s Creed II/frame_0035.png,"a screenshot from a video game shows a man sitting on a red chair in front of a large arched window he wears a tan and brown jacket, gray pants, and has short brown hair"
train/Assassin_s Creed II/frame_0036.png,"a screenshot from a video game shows a woman with long black hair wearing a gray shirt and brown and black belt, sitting in front of an open black laptop with a silver and black watch"
train/Assassin_s Creed II/frame_0037.png,"a screenshot from a video game shows a man and woman standing in front of a brick wall the man wears a gray hoodie and black and gray pants, while the woman wears a brown"
train/Assassin_s Creed II/frame_0038.png,"a screenshot from a video game shows a woman standing in front of a large arched window, wearing khaki and gray pants and a brown belt a standing man is visible in the background"
train/Assassin_s Creed II/frame_0039.png,"a screenshot from a video game shows a woman standing in front of a large arched window, wearing gray pants and a brown and black belt in the background, there is a red chair and"
train/Assassin_s Creed II/frame_0040.png,"a screenshot from a video game shows a man and woman standing in front of a metal bench the man has short brown hair and a large nose, while the woman has black hair and a"
train/Assassin_s Creed II/frame_0041.png,"a screenshot from a video game shows a man and woman standing in front of a brick wall the man wears a gray and brown jacket with a silver zipper, while the woman has black hair"
train/Assassin_s Creed II/frame_0042.png,"a screenshot from a video game shows a man and woman standing in front of a brick wall the man wears a gray shirt and black headphones, while the woman wears a brown shirt and"
train/Assassin_s Creed II/frame_0043.png,"a screenshot from a video game shows a woman with black hair wearing white headphones, standing in front of a glass window with a metal pole in the background"
train/Assassin_s Creed II/frame_0044.png,"a screenshot from a video game shows a man and woman standing in front of a brick wall the man has dark hair and is wearing a white shirt, while the woman has dark hair and"
train/Assassin_s Creed II/frame_0045.png,"a screenshot from a video game shows a woman with black hair and a black head wearing headphones, with an open mouth and a brown eye, standing in front of a glass window"
train/Assassin_s Creed II/frame_0046.png,"a screenshot from a video game shows a man and woman standing in front of a large arched window the man wears gray pants and brown boots, while the woman wears brown and gray pants and"
train/Assassin_s Creed II/frame_0047.png,"a screenshot from a video game shows a man sitting on a red chair in front of a brick wall, wearing black and brown pants and a gray hood a red chair is visible in the"
train/Assassin_s Creed II/frame_0048.png,"a screenshot from a video game shows a woman with brown and blond hair sitting at a black keyboard, with a large window in the background her white hand is visible on the keyboard, and"
train/Assassin_s Creed II/frame_0049.png,"a screenshot from a video game shows a woman with brown and blond hair sitting at a black computer, typing on a black keyboard with her white hand a window can be seen in the background"
train/Assassin_s Creed II/frame_0050.png,a screenshot from a video game shows a man with short brown hair and a large nose wearing a gray and brown jacket with a silver zipper he is standing in front of a brick wall with
train/Assassin_s Creed II/frame_0052.png,"a screenshot from a video game shows a man and woman standing in front of a brick wall the man wears a white shirt and has short brown hair, while the woman has blond hair and"
train/Assassin_s Creed II/frame_0053.png,"a screenshot from a video game shows a man with short brown hair and an open mouth, standing in front of a brick wall with a white box in the background his features include a large"
train/Assassin_s Creed II/frame_0054.png,"a screenshot from a video game shows a woman with blond hair and an open mouth standing in front of a white wall, with a black vent visible in the background"
train/Assassin_s Creed II/frame_0055.png,"a screenshot from a video game shows a man standing in front of a brick wall, wearing a gray hoodie and brown and gray pants he is standing on a brown and wood floor,"
train/Assassin_s Creed II/frame_0056.png,"a screenshot from a video game shows a room with a white wall displaying various text, a white paper, and a white and red poster"
train/Assassin_s Creed II/frame_0057.png,"a screenshot from a video game shows a man standing in front of a white wall, with a white board and a red and white board visible in the background the man has short brown hair"
train/Assassin_s Creed II/frame_0058.png,"a screenshot from a video game shows a man sitting at a brown wooden desk, wearing black glasses and a black watch he is seated on a gray and white chair, with a brick wall"
train/Assassin_s Creed II/frame_0059.png,"a screenshot from a video game shows a man and woman standing in front of a brick wall the man wears black glasses and a black belt, while the woman wears gray pants and a black"
train/Assassin_s Creed II/frame_0060.png,"a screenshot from a video game shows a man with short brown and blond hair wearing a gray and white shirt and black glasses, standing in front of a brick wall with a metal fence in"
train/Assassin_s Creed II/frame_0061.png,"a screenshot from a video game shows a smiling man with black glasses and a large nose, wearing a white and gray shirt with a white collar his open mouth and large ear are visible,"
train/Assassin_s Creed II/frame_0062.png,"a screenshot from a video game shows a man wearing a white shirt and black glasses, with short brown hair and a large nose he is standing in front of a brick wall and holding a"
train/Assassin_s Creed II/frame_0063.png,"a screenshot from a video game shows a smiling man with short blond hair and black glasses, wearing a white collar and a black watch on his left wrist his right hand is visible, with"
train/Assassin_s Creed II/frame_0064.png,"a screenshot from a video game shows two men, one wearing a gray shirt and black glasses, and the other wearing a gray shirt and black watch the man on the left is smiling and"
train/Assassin_s Creed II/frame_0065.png,"a screenshot from a video game shows two men, one wearing a gray shirt and black glasses, and the other wearing a gray shirt and black glasses the man on the left is smiling and"
train/Assassin_s Creed II/frame_0066.png,"a screenshot from a video game shows a woman standing in front of a brick wall, with an open laptop on her lap and a hand visible in the foreground"
train/Assassin_s Creed II/frame_0067.png,a screenshot from a video game shows a man wearing a gray shirt and black glasses standing in front of a white wall with the text video games he has short brown and red hair and is
train/Assassin_s Creed II/frame_0068.png,a screenshot from a video game shows a man wearing a gray shirt and black glasses standing in front of a white wall he is holding a black keyboard and wearing a black watch in the background
train/Assassin_s Creed II/frame_0069.png,"a screenshot from a video game shows a woman with black hair and an open mouth, standing in front of a brick wall she is holding a silver camera and wearing a black watch in the"
train/Assassin_s Creed II/frame_0070.png,"a screenshot from a video game shows a woman with black hair standing in front of a brick wall, with a white clock visible in the background her brown eye is also visible in the image"
train/Assassin_s Creed II/frame_0071.png,"a screenshot from a video game shows a man standing in front of a brick wall, wearing a gray hoodie with a silver zipper he has brown hair, a large nose, and a"
train/Assassin_s Creed II/frame_0072.png,"a screenshot from a video game shows a man standing in front of a brick wall, wearing a gray hoodie with a silver zipper he has short brown hair, a large nose, and"
train/Assassin_s Creed II/frame_0073.png,"a screenshot from a video game shows two men, one with short brown hair and the other with dark black hair, standing next to each other the man with short brown hair is wearing a"
train/Assassin_s Creed II/frame_0074.png,"a screenshot from a video game shows two men, one wearing a white shirt and black glasses, and the other wearing a gray shirt and short brown hair the man on the left is holding"
train/Assassin_s Creed II/frame_0075.png,"a screenshot from a video game shows two men standing in front of a brick wall the man on the left wears a white shirt and black glasses, while the man on the right wears a"
train/Assassin_s Creed II/frame_0076.png,a screenshot from a video game shows a man with short brown hair and black glasses standing in front of a white wall with the text the game is on and a white board with the text
train/Assassin_s Creed II/frame_0077.png,"a screenshot from a video game shows a man standing in front of a white wall, wearing a white shirt and black glasses, with short brown hair and a white ear visible"
train/Assassin_s Creed II/frame_0078.png,"a screenshot from a video game shows a man standing in front of a brick wall, wearing gray pants and black shoes, with a white board in the background"
train/Assassin_s Creed II/frame_0079.png,"a screenshot from a video game shows a man standing in front of a brick wall, wearing gray pants and a white hood, with a metal stool in the foreground"
train/Assassin_s Creed II/frame_0080.png,"a screenshot from a video game shows a man standing in front of a brick building with arched windows he wears a white shirt and gray pants, and sits on a brown chair in front of"
train/Assassin_s Creed II/frame_0081.png,"a screenshot from a video game shows a man standing in front of a brick building with arched windows he wears a white shirt and blue jeans, and has short brown hair a brown chair and"
train/Assassin_s Creed II/frame_0082.png,"a screenshot from a video game shows a man standing in front of a brick building with arched windows he wears a white hood and brown pants, and has short black hair a red bench is"
train/Assassin_s Creed II/frame_0083.png,"a screenshot from a video game shows a man sitting on a red chair in front of a brick wall, with a white table and an on light in the background he wears tan and k"
train/Assassin_s Creed II/frame_0084.png,"a screenshot from a video game shows a man wearing a white shirt and black and brown belt, with a black watch on his wrist he is talking on a cell phone while standing in front"
train/Assassin_s Creed II/frame_0085.png,"a screenshot from a video game shows a man and woman standing in front of a black television the man wears a gray shirt and has black hair, while the woman wears a black earring"
train/Assassin_s Creed II/frame_0086.png,"a screenshot from a video game shows a person with black hair and a gray shirt, holding a black knife in their hand their face, with a large nose and brown eyes, is visible"
train/Assassin_s Creed II/frame_0087.png,"a screenshot from a video game shows a woman with black hair and a large nose wearing headphones, with a brown eye visible in the foreground"
train/Assassin_s Creed II/frame_0088.png,"a screenshot from a video game shows a man wearing a mask standing in front of a white wall, with a red chair in the background he has short brown hair, a big nose,"
train/Assassin_s Creed II/frame_0089.png,"a screenshot from a video game shows a man and woman standing in front of a brick wall the man has black hair and wears a black earring, while the woman has black hair and"
train/Assassin_s Creed II/frame_0090.png,"a screenshot from a video game shows a man and woman standing in front of a brick wall the man wears a white shirt and has short black hair, while the woman has long black hair"
train/Assassin_s Creed II/frame_0097.png,"a screenshot from a video game shows a cityscape with tall buildings and a black sign in the foreground, set against a white sky"
train/Assassin_s Creed II/frame_0098.png,"a screenshot from a video game shows a cityscape featuring a large white building with a brown roof, followed by a smaller white building with a small window the sky is visible in the"
train/Assassin_s Creed II/frame_0099.png,a screenshot from a video game shows a cityscape with a blurry building in the foreground and a white sky in the background
train/Assassin_s Creed II/frame_0100.png,"a screenshot from a video game shows a cityscape with tall buildings and chimneys, set against a white sky a white and black sign is visible in the foreground"
train/Assassin_s Creed II/frame_0101.png,"a screenshot from a video game shows a cityscape featuring a white building with a brown roof and a brick chimney, set against a white sky with a small window visible in the fore"
train/Assassin_s Creed II/frame_0102.png,"a screenshot from a video game shows a blurry building with a red roof and various windows, including a small window and a glass window, set against a white sky"
train/Assassin_s Creed II/frame_0103.png,"a screenshot from a video game shows a cityscape featuring a white building with a brown roof and a round window, set against a white sky"
train/Assassin_s Creed II/frame_0104.png,"a screenshot from a video game shows a cityscape with buildings featuring brown and red roofs, small windows, and a white sky"
train/Assassin_s Creed II/frame_0106.png,"a screenshot from a video game shows a group of people standing in front of a white building, with one person wearing black boots and another wearing black pants the scene is set against a gray"
train/Assassin_s Creed II/frame_0107.png,"a screenshot from a video game shows a cityscape featuring a tall building, a black clock, and a white building with a glass window"
train/Assassin_s Creed II/frame_0108.png,"a screenshot from a video game shows a person with black hair and a white ear standing in front of a building, with a black clock visible in the background"
train/Assassin_s Creed II/frame_0109.png,a screenshot from a video game shows a group of people standing in front of tall buildings under a cloudy sky one man wears a black vest and another wears a white and black vest with the
train/Assassin_s Creed II/frame_0110.png,a screenshot from a video game shows a group of people standing in front of tall buildings under a cloudy sky one man wears a black vest and another wears a white and black vest with the
train/Assassin_s Creed II/frame_0111.png,"a screenshot from a video game shows a man with short black hair, a large nose, and dark brown eyes wearing a black shirt and silver necklace he is standing in front of a brick"
train/Assassin_s Creed II/frame_0112.png,"a screenshot from a video game shows a man with short black hair, a large nose, and an open mouth he wears a silver necklace and has a brown eye in the background, there"
train/Assassin_s Creed II/frame_0113.png,"a screenshot from a video game shows a group of people standing in front of a large building, with a man wearing black boots in the foreground"
train/Assassin_s Creed II/frame_0114.png,"a screenshot from a video game shows a man standing in front of a brick building with arched windows he wears a black vest and pants, and has dark hair in the background, there is"
train/Assassin_s Creed II/frame_0115.png,"a screenshot from a video game shows a brick building with a metal cross in the background a person wearing a white and black vest and black pants stands in front of the building, holding a"
train/Assassin_s Creed II/frame_0116.png,"a screenshot from a video game shows a woman with long black hair standing in front of a tall white building, with a black shadow in the foreground and a white sky in the background"
train/Assassin_s Creed II/frame_0117.png,"a screenshot from a video game shows a woman with long black hair wearing black pants and a black and silver watch, standing in front of a brick wall with a white cloud in the background"
train/Assassin_s Creed II/frame_0118.png,"a screenshot from a video game shows a person wearing black boots and a black leg, with a large black boot visible in the foreground and a dark shadow cast behind them"
train/Assassin_s Creed II/frame_0119.png,"a screenshot from a video game shows a smiling man with black hair and a large nose, standing in front of a building his face features a brown eye, a large nose, and a"
train/Assassin_s Creed II/frame_0120.png,"a screenshot from a video game shows a man standing in front of a brick building with a small window he wears a black vest and a silver necklace, and has dark hair in the background"
train/Assassin_s Creed II/frame_0121.png,"a screenshot from a video game shows a man standing in front of a brick building, with a cloudy sky in the background he wears a white and black vest and a black necklace, and"
train/Assassin_s Creed II/frame_0122.png,"a screenshot from a video game shows a man wearing a black hat standing in front of a brick building, with a statue in the background"
train/Assassin_s Creed II/frame_0123.png,"a screenshot from a video game shows a group of men standing in front of a brick building one man wears a black necklace and has dark hair, while another has short black hair and is"
train/Assassin_s Creed II/frame_0124.png,"a screenshot from a video game shows a group of men standing in front of a brick building one man wears a black vest and a silver necklace, while another wears a white and black vest"
train/Assassin_s Creed II/frame_0127.png,"a screenshot from a video game shows a group of people standing in front of a brick building, with a large brown bag visible in the foreground"
train/Assassin_s Creed II/frame_0129.png,"a screenshot from a video game shows a group of people walking on a sidewalk, with a blurry building in the background and a person wearing black pants visible in the foreground"
train/Assassin_s Creed II/frame_0130.png,"a screenshot from a video game shows a cityscape with brick buildings and a white and black sign in the foreground, casting shadows on the ground"
train/Assassin_s Creed II/frame_0131.png,"a screenshot from a video game shows a group of people standing in front of a brick building, with a black umbrella in the foreground and a dark shadow cast behind them"
train/Assassin_s Creed II/frame_0132.png,a screenshot from a video game shows a brick building with a black and white sign and a dark shadow in the foreground
train/Assassin_s Creed II/frame_0133.png,"a screenshot from a video game shows a man and woman standing in front of a brick building the man wears a black and brown vest and black pants, while the woman has long black hair"
train/Assassin_s Creed II/frame_0134.png,"a screenshot from a video game shows a group of people standing in front of a brick building, with a dark shadow in the foreground"
train/Assassin_s Creed II/frame_0135.png,"a screenshot from a video game shows a group of people standing in front of a brick building, with a black bird perched nearby and a dark shadow cast on the ground"
train/Assassin_s Creed II/frame_0136.png,"a screenshot from a video game shows a group of people standing in front of a brick building, with a black shadow in the foreground"
train/Assassin_s Creed II/frame_0137.png,"a screenshot from a video game shows two men standing in front of a brick building, with a brown wooden bench in the foreground and a dark shadow cast behind them"
train/Assassin_s Creed II/frame_0138.png,"a screenshot from a video game shows a group of people standing in front of a brick building, with a black and white sign visible in the background one person wears a brown skirt and another"
train/Assassin_s Creed II/frame_0140.png,a screenshot from a video game shows a man standing in front of a large white building with arched windows he wears a black vest and has brown hair a hand is visible in the foreground
train/Assassin_s Creed II/frame_0142.png,"a screenshot from a video game shows two men standing in front of a white building, one wearing brown pants and the other with a white hand visible the scene is set against a white sky"
train/Assassin_s Creed II/frame_0143.png,"a screenshot from a video game shows a man and woman standing in front of a large white building the man wears a black vest and brown pants, while the woman wears a white shirt and"
train/Assassin_s Creed II/frame_0144.png,"a screenshot from a video game shows a man with short brown hair and a brown face wearing a leather and black jacket, with a hand visible in the foreground"
train/Assassin_s Creed II/frame_0145.png,"a screenshot from a video game shows a black man standing in front of a brick building, with a white paper visible in the foreground and a hand in the background"
train/Assassin_s Creed II/frame_0146.png,"a screenshot from a video game shows a man with brown hair and an open mouth, standing in front of a brick building with a glass window"
train/Assassin_s Creed II/frame_0147.png,"a screenshot from a video game shows a smiling man with brown hair and a large nose, standing in front of a white building with a round clock he wears a white shirt and has a"
train/Assassin_s Creed II/frame_0148.png,"a screenshot from a video game shows a standing man with brown hair and a black vest, holding a hand up to his ear in the background, a white sky can be seen the man"
train/Assassin_s Creed II/frame_0149.png,"a screenshot from a video game shows two men, one with brown hair and the other with black and brown hair, standing in front of a brick building the man with brown hair is holding"
train/Assassin_s Creed II/frame_0150.png,"a screenshot from a video game shows a man and woman standing in front of a brick wall the man wears a black vest and black shoes, while the woman wears a black and brown skirt"
train/Assassin_s Creed II/frame_0151.png,"a screenshot from a video game shows a group of people standing in front of a brick building, with a man walking and standing in the foreground and a white sky in the background"
train/Assassin_s Creed II/frame_0153.png,a screenshot from a video game shows a black diamond and a white and black poster with text describing the game ' s features
train/Assassin_s Creed II/frame_0154.png,"a screenshot from a video game shows a white building and a black and white poster in the background, with a black diamond in the foreground"
train/Assassin_s Creed II/frame_0155.png,"a screenshot from a video game shows a white wall and a red sign in the background, with a red and white building in the foreground"
train/Assassin_s Creed II/frame_0156.png,"a screenshot from a video game shows a red and white sign and a white wall in the background, with a red and white building in the foreground"
train/Assassin_s Creed II/frame_0157.png,"a screenshot from a video game shows a group of people standing in front of a large white building, with a black man standing to the left and a white and black dog to the right"
train/Assassin_s Creed II/frame_0158.png,"a screenshot from a video game shows a group of people standing in front of a brick wall, with a black skateboard visible in the foreground and a large window in the background"
train/Assassin_s Creed II/frame_0159.png,"a screenshot from a video game shows a group of people standing in front of a brick building one person wears a black dress and brown boots, while another person ' s leg is visible in"
train/Assassin_s Creed II/frame_0160.png,"a screenshot from a video game shows a group of people standing in front of a brick building, with a white leg visible in the foreground and a dark shadow cast behind them"
train/Assassin_s Creed II/frame_0161.png,"a screenshot from a video game shows a group of people standing in front of a brick building, with a black and white sign in the background"
train/Assassin_s Creed II/frame_0162.png,"a screenshot from a video game shows a group of people lying on the ground in front of a brick building, with one person ' s bent leg visible in the foreground"
train/Assassin_s Creed II/frame_0163.png,"a screenshot from a video game shows a person wearing a brown and black vest and black boots standing in front of a brick building, with a brown horse in the background the person ' s"
train/Assassin_s Creed II/frame_0164.png,"a screenshot from a video game shows a group of people gathered around a table, with a laptop and a cup of coffee on the table in the background, there is a green tree and"
train/Assassin_s Creed II/frame_0165.png,"a screenshot from a video game shows a group of people lying on the ground in front of a brick building, with a white and black sign visible in the background"
train/Assassin_s Creed II/frame_0166.png,"a screenshot from a video game shows a group of people lying on the ground in front of a brick building, with a black bag and a black and white sign visible in the background"
train/Assassin_s Creed II/frame_0167.png,"a screenshot from a video game shows a group of people lying on the ground in front of a brick building, with a black shoe visible in the foreground"
train/Assassin_s Creed II/frame_0168.png,"a screenshot from a video game shows a black man standing in front of a brick building, with a black shadow in the foreground and a white and black sign in the background"
train/Assassin_s Creed II/frame_0169.png,"a screenshot from a video game shows a group of people standing in front of a brick building, with a white and black sign visible in the background one person wears a black and white dress"
train/Assassin_s Creed II/frame_0170.png,"a screenshot from a video game shows a man sitting on a wooden bench in front of a brick building, with a large window in the background he wears a black shirt and has short brown"
train/Assassin_s Creed II/frame_0171.png,"a screenshot from a video game shows a brick building with an arched door and a black sign in the foreground, there is a brown and black boot and a black and brown boot in"
train/Assassin_s Creed II/frame_0172.png,"a screenshot from a video game shows a group of people standing in front of a white building, with one person wearing a black shirt and brown boots, and another wearing a black and white"
train/Assassin_s Creed II/frame_0173.png,"a screenshot from a video game shows a man with black hair and a white collar, standing in front of a brick wall his face, with an open mouth and a large nose, is"
train/Assassin_s Creed II/frame_0175.png,a screenshot from a video game shows a black man with brown and black hair wearing a white shirt and a black and silver necklace he is standing in front of a white window and has a
train/Assassin_s Creed II/frame_0176.png,"a screenshot from a video game shows a black man with brown and black hair wearing a white shirt and a black necklace, with a white window in the background"
train/Assassin_s Creed II/frame_0177.png,"a screenshot from a video game shows a man with short brown hair, a large nose, and an open mouth holding a cell phone in his hand he wears a silver necklace and has a"
train/Assassin_s Creed II/frame_0178.png,"a screenshot from a video game shows a man with short brown hair, a large nose, and an open mouth he wears a silver necklace and has a brown eye his hand is visible in"
train/Assassin_s Creed II/frame_0179.png,"a screenshot from a video game shows a man and woman standing in front of a white building with a gray roof the man wears a black vest and has brown hair, while the woman has"
train/Assassin_s Creed II/frame_0180.png,"a screenshot from a video game shows a man and woman standing in front of a white window the man wears a black necklace and has brown hair, while the woman has black and brown hair"
train/Assassin_s Creed II/frame_0181.png,"a screenshot from a video game shows a black man wearing a black vest and silver necklace, with brown hair and an open mouth, standing in front of a white window"
train/Assassin_s Creed II/frame_0182.png,"a screenshot from a video game shows a smiling man with brown hair, a large nose, and brown eyes, standing in front of a building"
train/Assassin_s Creed II/frame_0183.png,"a screenshot from a video game shows a man with brown hair, a large nose, and an open mouth wearing a gray and white shirt his face is visible, with a brown eye and"
train/Assassin_s Creed II/frame_0184.png,"a screenshot from a video game shows a smiling man with brown hair and a black necklace, standing in front of a brick wall his open mouth and brown eye are visible, as well as"
train/Assassin_s Creed II/frame_0185.png,"a screenshot from a video game shows a smiling man with short brown hair and a large nose, wearing a black necklace he is standing in front of a brick wall and a white window,"
train/Assassin_s Creed II/frame_0186.png,"a screenshot from a video game shows a man in a black vest and brown hair standing in front of a white building, with a red scarf draped over his shoulder"
train/Assassin_s Creed II/frame_0189.png,"a screenshot from a video game shows a group of people standing in front of brick buildings, with a white and black sign in the background one person wears black pants and brown boots, and"
train/Assassin_s Creed II/frame_0190.png,"a screenshot from a video game shows a group of people sitting on steps, with a large white window in the background and a dark shadow cast on the ground"
train/Assassin_s Creed II/frame_0191.png,"a screenshot from a video game shows a cityscape with tall buildings and a white sky in the background a man stands and walks in front of a black and red sign, while a"
train/Assassin_s Creed II/frame_0192.png,"a screenshot from a video game shows a cityscape with tall buildings and a white building in the foreground a man stands and walks in front of a white and black sign, while"
train/Assassin_s Creed II/frame_0193.png,"a screenshot from a video game shows a scene with a white and black sign and a black sign in the foreground, a large white window in the background, and a person with dark"
train/Assassin_s Creed II/frame_0194.png,"a screenshot from a video game shows a cityscape featuring a large building and a white building in the foreground, with a black and white helmet visible in the background"
train/Assassin_s Creed II/frame_0195.png,"a screenshot from a video game shows a cityscape featuring a brick building and a large building in the background a man stands and walks in front of a glass window, wearing black pants"
train/Assassin_s Creed II/frame_0196.png,"a screenshot from a video game shows a cityscape featuring a brown wooden bench, a white building, and a brick building in the foreground, there is a black and white sign"
train/Assassin_s Creed II/frame_0197.png,"a screenshot from a video game shows a brick building with arched windows and a black door in the foreground, there is a black man wearing a black shirt and a black and white sign"
train/Assassin_s Creed II/frame_0198.png,"a screenshot from a video game shows a brick building with a black door and a glass window in the foreground, there is a black statue and a black boot in the background, there"
train/Assassin_s Creed II/frame_0200.png,"a screenshot from a video game shows a man standing in front of a brick building with various signs and windows he wears a black and gray vest and black pants, and has long black hair"
train/Assassin_s Creed II/frame_0201.png,a screenshot from a video game shows a cityscape featuring a white building and a brick building in the background a person with long brown hair wearing black pants and boots stands in front of
train/Assassin_s Creed II/frame_0202.png,"a screenshot from a video game shows a man standing in front of a brick building with arched windows he wears a black vest and gray pants, and is accompanied by a black dog in the"
train/Assassin_s Creed II/frame_0204.png,"a screenshot from a video game shows a man standing in front of a large building, wearing black pants and brown boots, with short black hair and a hand visible in the foreground"
train/Assassin_s Creed II/frame_0207.png,"a screenshot from a video game shows a standing man wearing black pants and brown boots, with a white and red sign in the background the man has short brown hair and is standing next to"
train/Assassin_s Creed II/frame_0210.png,"a screenshot from a video game shows a person standing in front of a large building, with a white sky in the background the person wears black pants and shoes, and their hand is visible"
train/Assassin_s Creed II/frame_0211.png,"a screenshot from a video game shows a cityscape featuring a large building and a white building in the foreground, with a black boot visible in the foreground"
train/Assassin_s Creed II/frame_0214.png,"a screenshot from a video game shows a wooden door and a building in the background, with a person wearing a black hood in the foreground"
train/Assassin_s Creed II/frame_0215.png,"a screenshot from a video game shows a man standing in front of a brick building with a glass window he wears a brown and black hat and has a black leg visible in the background,"
train/Assassin_s Creed II/frame_0217.png,"a screenshot from a video game shows a black man with dark hair and a large nose wearing a black glove and a silver necklace his open mouth and brown eye are visible, as well as"
train/Assassin_s Creed II/frame_0219.png,"a screenshot from a video game shows a man and woman standing in front of a brick building the man wears a black vest and has black hair, while the woman has brown and black hair"
train/Assassin_s Creed II/frame_0220.png,"a screenshot from a video game shows a standing man with black hair and a large nose, wearing a black vest and a black necklace in the background, there is a metal window and a"
train/Assassin_s Creed II/frame_0223.png,"a screenshot from a video game shows a group of people standing in front of a brick wall, with one person wearing black pants and boots, and another wearing a black and brown boot a"
train/Assassin_s Creed II/frame_0224.png,"a screenshot from a video game shows a group of people standing in front of a brick building with arched windows one man wears a black hat and boots, while another stands next to a white"
train/Assassin_s Creed II/frame_0225.png,"a screenshot from a video game shows a brick building with arched and glass windows, a wood bench, and a black and white sign a person wearing a black hat and pants stands in front"
